,0
0,1.7732635774762103e-05
1,2.5954327287880854e-05
2,2.7722489496699325e-05
3,3.6722734295887046e-05
4,3.1642781620121694e-05
5,9.756867849859432e-05
6,2.146899999439557e-05
7,2.5374354719104978e-05
8,3.46785840469622e-05
9,3.3731637789061784e-05
10,3.073444609271723e-05
11,3.7427513993805145e-05
12,3.203974969270105e-05
13,1.920031601987018e-05
14,2.7260929730576818e-05
15,3.8599112684471245e-05
16,3.068554120735311e-05
17,3.1240688421642906e-05
18,2.538475813955243e-05
19,5.259676273837981e-05
20,3.494718957494459e-05
21,1.762733203552573e-05
22,1.838123183499156e-05
23,2.8024910657745475e-05
24,4.055934885741421e-05
25,3.019339431374005e-05
26,1.7451401468043284e-05
27,8.615613825109924e-05
28,3.370245676026764e-05
29,5.206757041870377e-05
30,2.100210389889339e-05
31,3.0994297967371976e-05
32,2.9856708626463867e-05
33,3.146225155873722e-05
34,2.3208251951414087e-05
35,2.806869954811842e-05
36,2.5333294277807705e-05
37,2.1959658096655534e-05
38,2.0910333708227014e-05
39,2.132888608625488e-05
40,3.467997800090477e-05
41,2.302574550097417e-05
42,5.865228932348608e-05
43,1.4391068410242135e-05
44,3.056418046209414e-05
45,2.20864369966037e-05
46,2.174100332172792e-05
47,3.3048273995286894e-05
48,3.6571435076456564e-05
49,1.591530507837916e-05
50,3.447101888862751e-05
51,1.912032372944614e-05
52,6.449628349680879e-05
53,3.0367105770570612e-05
54,4.183031182398431e-05
55,2.9853811649132717e-05
56,2.1660562818479677e-05
57,2.4450002532915268e-05
58,5.108351563452988e-05
59,1.934282730026916e-05
60,2.1715535511308574e-05
61,2.2272522315437564e-05
62,4.2160975583126934e-05
63,1.7917261337376925e-05
64,1.1852566922604169e-05
65,2.6381466622580643e-05
66,2.31017437214838e-05
67,2.7833113664536855e-05
68,3.370945129142487e-05
69,2.9846642675508604e-05
70,6.0883341899727096e-05
71,3.3643094826155476e-05
72,2.29667766334323e-05
73,2.3981706559727192e-05
74,1.6428106500608204e-05
75,2.6541883687475617e-05
76,4.541551019041336e-05
77,1.746951727908613e-05
78,2.2584875843074775e-05
79,1.9718364746049763e-05
80,2.6375609440579895e-05
81,2.0705281533409e-05
82,2.3466631674282575e-05
83,3.574822529019647e-05
84,6.526530084641166e-05
85,2.3072673428069546e-05
86,2.06042484706815e-05
87,1.7431000720028207e-05
88,3.6457944108209275e-05
89,3.129826434298271e-05
90,4.395420730744797e-05
91,2.942364035828091e-05
92,2.9512800451632573e-05
93,2.931759534607438e-05
94,1.0112224133531173e-05
95,2.221250666483783e-05
96,2.6328511763252824e-05
97,2.9663577327789877e-05
98,2.3082344511506098e-05
99,3.749781869480745e-05
100,3.066911906329921e-05
101,4.793417158305069e-05
102,6.481262077013698e-05
103,1.8443720670652497e-05
104,2.497015241984277e-05
105,2.1949998243380616e-05
106,1.8155081999817216e-05
107,4.599722084780396e-05
108,2.9811644117525277e-05
109,1.6137913669899038e-05
110,3.394462328099713e-05
111,6.38009623197508e-05
112,3.166798806687886e-05
113,1.3046326067544088e-05
114,3.238562106953901e-05
115,3.6097366847137774e-05
116,4.3187534398691536e-05
117,6.369723673214506e-05
118,2.179481137888275e-05
119,2.8457249540028004e-05
120,2.2165449678504298e-05
121,3.406299774696207e-05
122,4.6542037601031734e-05
123,1.7813069129401673e-05
124,2.8501198345467153e-05
125,2.7050832477874447e-05
126,2.1883154921348326e-05
127,2.392740628715086e-05
128,2.803088188780077e-05
129,2.6707085441674386e-05
130,2.4448549594867704e-05
131,1.72736129066911e-05
132,2.7890737417928057e-05
133,3.1034593754000585e-05
134,2.8045583787104124e-05
135,2.86062710528398e-05
136,1.366398112879026e-05
137,4.740039131846261e-05
138,1.5291484888796453e-05
139,2.297390946047738e-05
140,5.853578779224177e-05
141,7.375905576005748e-05
142,1.5201699181122488e-05
143,3.734657459190486e-05
144,2.0781594266700817e-05
145,2.7692894756543785e-05
146,1.301576292073123e-05
147,2.0279180698417262e-05
148,2.7541856917872018e-05
149,3.065222492609411e-05
150,2.923373791324202e-05
151,2.199470319679928e-05
152,2.8175797550964426e-05
153,2.677551754212713e-05
154,2.244375831462484e-05
155,3.660478920132801e-05
156,1.4926548657661905e-05
157,2.4463276477955364e-05
158,1.957932462004131e-05
159,7.10710442799653e-05
160,2.2739070827850207e-05
