,0
0,2.6444249908968058e-05
1,2.238040744973412e-05
2,1.5768431257573173e-05
3,3.0432920781374222e-05
4,3.1870409002652206e-05
5,4.36292197150077e-05
6,2.6176071161645747e-05
7,3.559551338012227e-05
8,2.2735542883631202e-05
9,2.859196209141958e-05
10,2.1950331565970736e-05
11,2.504664204730411e-05
12,1.8107067194084896e-05
13,5.738258132776729e-05
14,2.7037590797143573e-05
15,3.392808371812191e-05
16,4.397578512521772e-05
17,3.2527694963649076e-05
18,1.7301278304497218e-05
19,3.433656285971928e-05
20,3.2970031004313454e-05
21,1.77252496657674e-05
22,3.9594584705681395e-05
23,2.1033390061934487e-05
24,4.865605659291334e-05
25,2.2939073893141797e-05
26,2.7276136482524475e-05
27,2.0450966153257162e-05
28,2.7464232159950078e-05
29,4.50687899240438e-05
30,3.013803624962625e-05
31,4.279994692601963e-05
32,2.852943382061104e-05
33,2.393909098884464e-05
34,5.6742600841466275e-05
35,2.298079060149452e-05
36,1.516712654362697e-05
37,3.743106557545524e-05
38,3.724237659797748e-05
39,2.0149546950145232e-05
40,3.361467693962079e-05
41,6.43422074682297e-05
42,1.9693246898423184e-05
43,1.5512853141914997e-05
44,4.748680264501922e-05
45,2.869704021004493e-05
46,1.906560257194995e-05
47,3.94816779453517e-05
48,4.1673833751969285e-05
49,2.2158315580569252e-05
50,1.8677561775974115e-05
51,5.03676609651361e-05
52,1.8691740080988624e-05
53,4.133265441751383e-05
54,3.7543456930980957e-05
55,1.71247414233921e-05
56,3.358110609472244e-05
57,1.697655647512057e-05
58,2.7980537318772852e-05
59,1.8061673385496512e-05
60,4.398100065617975e-05
61,2.0277878999675177e-05
62,3.6929656625138483e-05
63,2.046468092346507e-05
64,2.6261216476248502e-05
65,4.848919722129967e-05
66,4.898012302036071e-05
67,6.79215499011975e-05
68,3.340674747553583e-05
69,2.319677940532163e-05
70,3.599904755889233e-05
71,4.122289578886815e-05
72,2.1885525225302603e-05
73,2.4234576644225553e-05
74,3.417141750478664e-05
75,1.8959955682190498e-05
76,2.7888670463313985e-05
77,3.260369387529356e-05
78,1.973502921322209e-05
79,2.4035855426761414e-05
80,2.974635491621671e-05
81,7.336371090567297e-05
82,1.446843303165333e-05
83,2.3513881024989732e-05
84,4.236609560724297e-05
85,3.9109876702650554e-05
86,2.3969542941741723e-05
87,2.95987481401895e-05
88,3.776098374435453e-05
89,8.174574003393501e-05
90,3.209490107436031e-05
91,2.8980260848923526e-05
92,2.7323479848323774e-05
93,3.279346600323718e-05
94,2.164628081743079e-05
95,3.8389275281896956e-05
96,3.520825406747618e-05
97,4.001987121298813e-05
98,4.8277971728283714e-05
99,2.250764959684688e-05
100,1.3096183878461497e-05
101,3.439663226366578e-05
102,3.0616960302250316e-05
103,1.8296038890542048e-05
104,2.037994466838072e-05
105,3.503483190711186e-05
106,2.1057227279366458e-05
107,4.3431920372332165e-05
108,2.1479844058873626e-05
109,2.7505007095369426e-05
110,2.7706427024237163e-05
111,3.6008294092026026e-05
112,3.8309945456502586e-05
113,2.1908882627302098e-05
114,3.784120956590126e-05
115,2.8243786538580242e-05
116,1.9286603650997642e-05
117,2.76678029756398e-05
118,6.172788637478095e-05
119,1.4685658838581721e-05
120,2.4878881964204527e-05
121,2.650349930155501e-05
122,2.4417487206092768e-05
123,1.7780238649158262e-05
124,2.7010453442063723e-05
125,5.1758527870138735e-05
126,1.89241019543217e-05
127,3.242858084101929e-05
128,2.3767412462857822e-05
129,3.3288889145967496e-05
130,2.78824537344178e-05
131,3.219555651165563e-05
132,2.3446522089076543e-05
133,2.6970170507546996e-05
134,1.6404500580737134e-05
135,2.1268437259523054e-05
136,4.6236422225150583e-05
137,3.78347979178139e-05
138,1.8483228862301224e-05
139,2.1386924250643506e-05
140,3.0274275159669462e-05
141,2.5546812165612692e-05
142,1.7316438533815603e-05
143,3.911773904990394e-05
144,4.174863387969052e-05
145,2.1806208816013337e-05
146,2.1730245845273433e-05
147,2.8461593890205362e-05
148,2.018752603291507e-05
149,2.5973129099724814e-05
150,3.4034876703240996e-05
151,3.137440482765788e-05
152,2.1185887768140652e-05
153,3.8582782060211334e-05
154,2.5223487168664952e-05
155,3.5172676160822673e-05
156,2.3030868771807107e-05
157,2.1794708089669837e-05
158,2.7050330596730415e-05
159,2.4614111693307728e-05
160,1.5092493345523585e-05
161,3.467049317305445e-05
162,3.3806625947984995e-05
163,4.19094308984216e-05
164,3.315900526047534e-05
165,2.8833698910428755e-05
166,2.0181450875134075e-05
167,2.428182095913679e-05
168,1.7347577248281335e-05
169,2.4633598658083927e-05
170,2.195104161851094e-05
171,3.111285857352237e-05
172,2.5128254843398938e-05
173,2.727576203913112e-05
174,3.259398194633721e-05
175,3.0797591959490686e-05
176,2.6273516586581834e-05
177,3.339103384907193e-05
178,2.48010775388255e-05
179,2.3106088667631345e-05
180,2.9874452916604377e-05
181,2.5921850919272298e-05
182,3.383943319948079e-05
183,2.3002415238692668e-05
184,3.068582661568541e-05
185,1.6741803359499764e-05
186,2.2197170938889255e-05
187,2.0725530437184823e-05
188,3.32286761474874e-05
189,8.678245773216716e-05
190,3.5703610657851664e-05
191,2.197862800257231e-05
192,3.7647707655026876e-05
193,3.0137993814159103e-05
194,1.8938156110801946e-05
195,2.417927039758671e-05
196,2.4871298234731883e-05
197,3.461036405570314e-05
198,5.624600646271488e-05
199,3.211574267979904e-05
200,2.609154493862834e-05
201,4.112855377330975e-05
202,2.3973338825118985e-05
203,3.220292752873257e-05
204,6.917477067433968e-05
205,4.148566141514203e-05
