,Index,Date,neg,neu,pos,compound
0,MMM,2021-04-16,0.0,0.885,0.115,0.0772
1,MMM,2021-04-13,0.0,1.0,0.0,0.0
2,MMM,2021-04-08,0.0,1.0,0.0,0.0
3,MMM,2021-04-05,0.0,0.761,0.239,0.296
4,MMM,2021-04-05,0.0,0.686,0.314,0.6705
5,MMM,2021-04-04,0.0,0.686,0.314,0.4939
6,MMM,2021-04-04,0.123,0.877,0.0,-0.1027
7,MMM,2021-04-01,0.117,0.722,0.161,0.2023
8,MMM,2021-04-01,0.0,1.0,0.0,0.0
9,MMM,2021-03-25,0.0,0.674,0.326,0.4404
10,MMM,2021-03-25,0.179,0.821,0.0,-0.34
11,MMM,2021-03-24,0.0,1.0,0.0,0.0
12,MMM,2021-03-24,0.0,0.784,0.216,0.296
13,MMM,2021-03-23,0.0,1.0,0.0,0.0
14,MMM,2021-03-23,0.278,0.444,0.278,0.0
15,MMM,2021-03-19,0.0,1.0,0.0,0.0
16,MMM,2021-03-19,0.0,0.877,0.123,0.2732
17,MMM,2021-03-18,0.0,0.748,0.252,0.4019
18,MMM,2021-03-17,0.0,0.588,0.412,0.6369
19,MMM,2021-03-10,0.0,0.833,0.167,0.4588
20,MMM,2021-03-08,0.0,0.521,0.479,0.8479
21,MMM,2021-03-06,0.0,1.0,0.0,0.0
22,MMM,2021-03-06,0.0,0.494,0.506,0.6249
23,MMM,2021-03-05,0.0,1.0,0.0,0.0
24,MMM,2021-03-04,0.0,1.0,0.0,0.0
25,MMM,2021-03-04,0.0,0.764,0.236,0.5267
26,MMM,2021-03-03,0.0,0.769,0.231,0.2023
27,MMM,2021-03-02,0.0,1.0,0.0,0.0
28,MMM,2021-03-01,0.0,1.0,0.0,0.0
29,MMM,2021-02-27,0.0,1.0,0.0,0.0
30,MMM,2021-02-25,0.13,0.87,0.0,-0.2732
31,MMM,2021-02-25,0.22,0.78,0.0,-0.4767
32,MMM,2021-02-24,0.0,0.656,0.344,0.6369
33,MMM,2021-02-23,0.081,0.699,0.22,0.3818
34,MMM,2021-02-23,0.0,0.82,0.18,0.296
35,MMM,2021-02-23,0.0,0.815,0.185,0.3612
36,MMM,2021-02-23,0.0,0.817,0.183,0.5563
37,MMM,2021-02-19,0.117,0.883,0.0,-0.4696
38,MMM,2021-02-18,0.0,0.569,0.431,0.6486
39,MMM,2021-02-17,0.0,1.0,0.0,0.0
40,MMM,2021-02-16,0.0,0.616,0.384,0.6808
41,MMM,2021-02-16,0.0,1.0,0.0,0.0
42,MMM,2021-02-16,0.0,0.838,0.162,0.4404
43,MMM,2021-02-14,0.263,0.737,0.0,-0.3612
44,MMM,2021-02-12,0.0,0.735,0.265,0.2023
45,MMM,2021-02-12,0.0,0.714,0.286,0.25
46,MMM,2021-02-12,0.0,0.543,0.457,0.4939
47,MMM,2021-02-10,0.203,0.569,0.228,0.0772
48,MMM,2021-02-09,0.0,1.0,0.0,0.0
49,MMM,2021-02-09,0.0,0.894,0.106,0.0772
50,MMM,2021-02-09,0.0,0.894,0.106,0.0772
51,MMM,2021-02-08,0.0,1.0,0.0,0.0
52,MMM,2021-02-06,0.0,1.0,0.0,0.0
53,MMM,2021-02-06,0.0,1.0,0.0,0.0
54,MMM,2021-02-06,0.0,0.62,0.38,0.5994
55,MMM,2021-02-06,0.0,1.0,0.0,0.0
56,MMM,2021-02-04,0.0,0.878,0.122,0.2023
57,MMM,2021-02-04,0.0,0.683,0.317,0.6249
58,MMM,2021-02-02,0.0,1.0,0.0,0.0
59,MMM,2021-02-02,0.0,0.777,0.223,0.3182
60,MMM,2021-02-02,0.0,1.0,0.0,0.0
61,MMM,2021-02-02,0.0,1.0,0.0,0.0
62,MMM,2021-01-30,0.0,1.0,0.0,0.0
63,MMM,2021-01-29,0.0,0.511,0.489,0.7717
64,MMM,2021-01-28,0.0,0.769,0.231,0.34
65,MMM,2021-01-28,0.0,1.0,0.0,0.0
66,MMM,2021-01-27,0.0,0.674,0.326,0.4404
67,MMM,2021-01-27,0.307,0.291,0.402,0.2422
68,MMM,2021-01-26,0.0,1.0,0.0,0.0
69,MMM,2021-01-26,0.175,0.702,0.123,-0.2263
70,MMM,2021-01-26,0.0,1.0,0.0,0.0
71,MMM,2021-01-26,0.0,0.463,0.537,0.891
72,MMM,2021-01-26,0.208,0.792,0.0,-0.2732
73,MMM,2021-01-26,0.0,1.0,0.0,0.0
74,MMM,2021-01-26,0.385,0.615,0.0,-0.3612
75,MMM,2021-01-26,0.0,1.0,0.0,0.0
76,MMM,2021-01-26,0.0,1.0,0.0,0.0
77,MMM,2021-01-26,0.0,1.0,0.0,0.0
78,MMM,2021-01-26,0.0,1.0,0.0,0.0
79,MMM,2021-01-25,0.0,1.0,0.0,0.0
80,MMM,2021-01-23,0.0,0.765,0.235,0.6124
81,MMM,2021-01-23,0.0,1.0,0.0,0.0
82,MMM,2021-01-22,0.0,1.0,0.0,0.0
83,MMM,2021-01-19,0.0,1.0,0.0,0.0
84,MMM,2021-01-15,0.325,0.675,0.0,-0.6486
85,MMM,2021-01-13,0.0,1.0,0.0,0.0
86,MMM,2021-01-09,0.0,0.69,0.31,0.4019
87,MMM,2021-01-08,0.0,0.732,0.268,0.296
88,MMM,2021-01-07,0.231,0.769,0.0,-0.4019
89,MMM,2021-01-07,0.0,0.886,0.114,0.2023
90,MMM,2021-01-07,0.0,1.0,0.0,0.0
91,MMM,2021-01-05,0.0,1.0,0.0,0.0
92,MMM,2020-12-31,0.0,0.6,0.4,0.4588
93,MMM,2020-12-29,0.0,0.58,0.42,0.4404
94,MMM,2020-12-28,0.0,0.741,0.259,0.2716
95,MMM,2020-12-23,0.0,0.682,0.318,0.6369
96,MMM,2020-12-19,0.0,1.0,0.0,0.0
97,MMM,2020-12-19,0.0,0.816,0.184,0.2023
98,MMM,2020-12-18,0.0,1.0,0.0,0.0
99,MMM,2020-12-18,0.0,1.0,0.0,0.0
100,AOS,2021-04-18,0.0,1.0,0.0,0.0
101,AOS,2021-04-14,0.0,1.0,0.0,0.0
102,AOS,2021-04-09,0.0,0.649,0.351,0.4019
103,AOS,2021-04-05,0.0,1.0,0.0,0.0
104,AOS,2021-03-23,0.0,0.723,0.277,0.5574
105,AOS,2021-03-04,0.0,1.0,0.0,0.0
106,AOS,2021-03-01,0.0,0.769,0.231,0.2023
107,AOS,2021-02-27,0.0,1.0,0.0,0.0
108,AOS,2021-02-24,0.231,0.769,0.0,-0.2023
109,AOS,2021-01-30,0.0,1.0,0.0,0.0
110,AOS,2021-01-29,0.0,1.0,0.0,0.0
111,AOS,2021-01-28,0.0,1.0,0.0,0.0
112,AOS,2021-01-28,0.0,1.0,0.0,0.0
113,AOS,2021-01-28,0.0,0.816,0.184,0.2023
114,AOS,2021-01-28,0.0,1.0,0.0,0.0
115,AOS,2021-01-28,0.0,0.8,0.2,0.5423
116,AOS,2021-01-27,0.0,1.0,0.0,0.0
117,AOS,2021-01-27,0.0,1.0,0.0,0.0
118,AOS,2021-01-23,0.0,0.838,0.162,0.4019
119,AOS,2021-01-17,0.0,0.804,0.196,0.296
120,AOS,2021-01-15,0.0,1.0,0.0,0.0
121,AOS,2021-01-06,0.0,1.0,0.0,0.0
122,AOS,2021-01-05,0.0,1.0,0.0,0.0
123,AOS,2020-12-30,0.0,0.594,0.406,0.6249
124,AOS,2020-12-29,0.0,1.0,0.0,0.0
125,AOS,2020-12-22,0.0,0.844,0.156,0.34
126,AOS,2020-12-21,0.0,0.756,0.244,0.4404
127,AOS,2020-12-04,0.216,0.522,0.261,-0.1027
128,AOS,2020-12-03,0.0,0.629,0.371,0.6486
129,AOS,2020-11-26,0.0,0.616,0.384,0.6808
130,AOS,2020-11-10,0.0,1.0,0.0,0.0
131,AOS,2020-11-04,0.0,0.645,0.355,0.296
132,AOS,2020-11-01,0.0,1.0,0.0,0.0
133,AOS,2020-10-29,0.0,1.0,0.0,0.0
134,AOS,2020-10-29,0.0,1.0,0.0,0.0
135,AOS,2020-10-29,0.0,1.0,0.0,0.0
136,AOS,2020-10-29,0.0,0.885,0.115,0.296
137,AOS,2020-10-28,0.0,1.0,0.0,0.0
138,AOS,2020-10-24,0.093,0.728,0.179,0.3182
139,AOS,2020-10-23,0.0,0.809,0.191,0.5106
140,AOS,2020-10-22,0.0,1.0,0.0,0.0
141,AOS,2020-10-16,0.0,0.602,0.398,0.6486
142,AOS,2020-10-12,0.0,0.82,0.18,0.296
143,AOS,2020-10-07,0.0,1.0,0.0,0.0
144,AOS,2020-10-06,0.0,1.0,0.0,0.0
145,AOS,2020-09-30,0.0,0.602,0.398,0.6486
146,AOS,2020-09-27,0.0,0.789,0.211,0.34
147,AOS,2020-09-23,0.0,1.0,0.0,0.0
148,AOS,2020-09-14,0.0,0.602,0.398,0.6486
149,AOS,2020-09-10,0.0,1.0,0.0,0.0
150,AOS,2020-09-01,0.16,0.705,0.135,-0.1027
151,AOS,2020-08-29,0.0,1.0,0.0,0.0
152,AOS,2020-08-17,0.0,0.602,0.398,0.6486
153,AOS,2020-08-06,0.0,1.0,0.0,0.0
154,AOS,2020-07-31,0.0,0.629,0.371,0.6486
155,AOS,2020-07-30,0.151,0.849,0.0,-0.1531
156,AOS,2020-07-30,0.0,1.0,0.0,0.0
157,AOS,2020-07-30,0.0,1.0,0.0,0.0
158,AOS,2020-07-30,0.0,1.0,0.0,0.0
159,AOS,2020-07-23,0.0,1.0,0.0,0.0
160,AOS,2020-07-20,0.0,1.0,0.0,0.0
161,AOS,2020-07-13,0.0,1.0,0.0,0.0
162,AOS,2020-07-13,0.0,1.0,0.0,0.0
163,AOS,2020-07-10,0.0,0.602,0.398,0.6486
164,AOS,2020-07-02,0.0,1.0,0.0,0.0
165,AOS,2020-06-15,0.0,1.0,0.0,0.0
166,AOS,2020-06-12,0.0,1.0,0.0,0.0
167,AOS,2020-06-06,0.0,1.0,0.0,0.0
168,AOS,2020-06-04,0.0,1.0,0.0,0.0
169,AOS,2020-05-28,0.0,0.629,0.371,0.6486
170,AOS,2020-05-19,0.0,1.0,0.0,0.0
171,AOS,2020-05-08,0.0,1.0,0.0,0.0
172,AOS,2020-05-05,0.138,0.862,0.0,-0.1531
173,AOS,2020-05-05,0.0,1.0,0.0,0.0
174,AOS,2020-04-30,0.0,0.602,0.398,0.6486
175,AOS,2020-04-29,0.0,0.769,0.231,0.5106
176,AOS,2020-04-28,0.0,1.0,0.0,0.0
177,AOS,2020-04-17,0.0,1.0,0.0,0.0
178,AOS,2020-04-15,0.0,1.0,0.0,0.0
179,AOS,2020-04-14,0.0,1.0,0.0,0.0
180,AOS,2020-04-09,0.0,0.82,0.18,0.296
181,AOS,2020-04-07,0.0,1.0,0.0,0.0
182,AOS,2020-04-03,0.0,1.0,0.0,0.0
183,AOS,2020-03-31,0.0,1.0,0.0,0.0
184,AOS,2020-03-22,0.0,1.0,0.0,0.0
185,AOS,2020-03-18,0.0,0.682,0.318,0.6369
186,AOS,2020-03-13,0.0,0.789,0.211,0.34
187,AOS,2020-03-05,0.119,0.739,0.142,0.1027
188,AOS,2020-02-27,0.0,1.0,0.0,0.0
189,AOS,2020-02-20,0.0,1.0,0.0,0.0
190,AOS,2020-02-18,0.0,0.885,0.115,0.296
191,AOS,2020-02-05,0.31,0.69,0.0,-0.4019
192,AOS,2020-01-31,0.0,1.0,0.0,0.0
193,AOS,2020-01-30,0.0,1.0,0.0,0.0
194,AOS,2020-01-29,0.0,0.732,0.268,0.296
195,AOS,2020-01-28,0.286,0.714,0.0,-0.5267
196,AOS,2020-01-28,0.138,0.862,0.0,-0.1531
197,AOS,2020-01-28,0.0,0.804,0.196,0.296
198,AOS,2020-01-26,0.0,1.0,0.0,0.0
199,AOS,2020-01-25,0.091,0.909,0.0,-0.1027
200,ABT,2021-04-15,0.0,1.0,0.0,0.0
201,ABT,2021-04-14,0.0,0.769,0.231,0.2023
202,ABT,2021-04-13,0.0,0.789,0.211,0.34
203,ABT,2021-04-13,0.0,1.0,0.0,0.0
204,ABT,2021-04-13,0.143,0.857,0.0,-0.128
205,ABT,2021-04-12,0.0,0.787,0.213,0.4019
206,ABT,2021-04-12,0.0,1.0,0.0,0.0
207,ABT,2021-04-10,0.0,0.73,0.27,0.5707
208,ABT,2021-04-09,0.0,1.0,0.0,0.0
209,ABT,2021-04-08,0.0,1.0,0.0,0.0
210,ABT,2021-04-08,0.0,0.838,0.162,0.4767
